Code,Si/Do,시군구,City_Name,Si/Gun,Smart_City,1st_SC (U-City & LH_SC service in Transport & Security),2nd_SC (Multiple SC service),SC_Ordinance,RE,RE_B,RE_E,SG,CI,ES_Ave,ES1,EC2,EC3,EC4,EC5,Elec_HPS,TB,ER,Population, Business ,FIR,GRDP,Car,UA,RA,CA,IA,GA,Road,F_Culture,F_Research,Hospitals,Waste
42720,Gangwon,홍천군,Hongcheon-gun,Gun,3,,, -   ,"354,941",0.081%,0.065%,0 ,1 ,3.412 ,3.50 ,4.19 ,3.61 ,3.04 ,2.73 ,538308 ,0.00%, 1 ,"31,851"," 6,139 ",19.4," 2,282,339 "," 36,016 ",5.9,13.0,1.3,3.2,82.5,"7,168,545",1,1,0,1.14
42730,Gangwon,횡성군,Hoengseong-gun,Gun,3,,, -   ,"145,722",0.051%,0.000%,0 ,0 ,3.412 ,3.50 ,4.19 ,3.61 ,3.04 ,2.73 ,342076 ,0.00%, 1 ,"21,283"," 3,808 ",18.5," 1,526,629 "," 23,820 ",7.3,25.9,3.8,11.8,58.4,"5,587,624",3,1,0,1.29
42750,Gangwon,영월군,Yeongwol-gun,Gun,3,,, -   ,"165,036",0.053%,0.000%,0 ,0 ,3.412 ,3.50 ,4.19 ,3.61 ,3.04 ,2.73 ,240299 ,0.00%, 1 ,"20,255"," 3,691 ",21.6," 1,297,094 "," 19,774 ",27.7,13.2,2.1,4.1,80.6,"3,010,313",4,1,1,0.81
42760,Gangwon,평창군,Pyeongchang-gun,Gun,3,,, -   ,"213,609",0.000%,0.000%,0 ,0 ,3.412 ,3.50 ,4.19 ,3.61 ,3.04 ,2.73 ,443816 ,0.00%, 1 ,"20,745"," 4,341 ",12.8," 1,698,594 "," 24,450 ",11.0,28.1,2.9,0.0,69.0,"6,130,197",2,1,0,1.34
42770,Gangwon,정선군,Jeongseon-gun,Gun,3,,, -   ,"226,206",0.000%,0.000%,0 ,1 ,3.412 ,3.50 ,4.19 ,3.61 ,3.04 ,2.73 ,123349 ,0.00%, 1 ,"19,571"," 3,902 ",31.2," 1,329,883 "," 19,718 ",35.5,11.8,2.6,1.4,84.1,"5,681,617",0,1,0,1.71
42780,Gangwon,철원군,Cheorwon-gun,Gun,3,,, -   ,"90,273",0.080%,0.107%,0 ,0 ,3.412 ,3.50 ,4.19 ,3.61 ,3.04 ,2.73 ,376501 ,0.00%, 1 ,"21,778"," 3,682 ",13.1," 1,592,046 "," 22,620 ",54.7,23.3,2.8,1.5,72.4,"5,400,984",3,2,0,1.16
42790,Gangwon,화천군,Hwacheon-gun,Gun,3,,, -   ,"151,198",0.000%,0.000%,0 ,0 ,3.412 ,3.50 ,4.19 ,3.61 ,3.04 ,2.73 ,200977 ,0.00%, 1 ,"13,207"," 2,106 ",17.3," 1,211,752 "," 11,823 ",32.1,17.1,2.1,0.2,80.6,"2,425,001",3,2,0,1.89
42800,Gangwon,양구군,Yanggu-gun,Gun,3,,, -   ,"84,902",0.102%,0.000%,0 ,0 ,3.412 ,3.50 ,4.19 ,3.61 ,3.04 ,2.73 ,185889 ,0.00%, 1 ,"11,355"," 1,858 ",17.2," 867,428 "," 11,167 ",26.3,38.0,4.4,1.7,55.9,"2,283,251",1,0,0,1.50
42810,Gangwon,인제군,Inje-gun,Gun,3,,, -   ,"347,968",0.030%,0.000%,0 ,1 ,3.412 ,3.50 ,4.19 ,3.61 ,3.04 ,2.73 ,295306 ,0.00%, 2 ,"15,426"," 3,353 ",10.7," 1,381,148 "," 16,677 ",19.2,23.0,3.8,1.5,71.8,"4,651,188",1,0,0,2.56
42820,Gangwon,강원고성군,Goseong-gun,Gun,3,,, -   ,"86,437",0.069%,0.000%,0 ,1 ,3.412 ,3.50 ,4.19 ,3.61 ,3.04 ,2.73 ,134307 ,0.00%, 1 ,"15,377"," 2,804 ",13.7," 951,171 "," 13,575 ",38.9,24.2,3.2,1.6,67.4,"3,607,244",1,1,2,1.66
42830,Gangwon,양양군,Yangyang-gun,Gun,3,,, -   ,"137,778",0.026%,0.000%,0 ,0 ,3.412 ,3.50 ,4.19 ,3.61 ,3.04 ,2.73 ,198297 ,0.00%, 1 ,"13,402"," 3,726 ",11.6," 872,718 "," 13,694 ",5.1,21.0,3.5,0.2,72.7,"2,813,295",0,0,0,1.73
43110,Chungbuk,청주시,Cheongju-si,Si,3,,, -   ,"37,497",0.030%,0.012%,1 ,1 ,3.679 ,3.34 ,4.15 ,3.51 ,3.76 ,3.63 ,3751624 ,0.00%, 2 ,"341,596"," 59,939 ",35.8," 16,232,249 "," 381,390 ",35.1,11.7,1.4,5.4,81.3,"30,058,657",6,6,7,1.45
43130,Chungbuk,충주시,Chungju-si,Si,1,U-city(기반조성),, -   ,"109,096",0.045%,0.022%,0 ,0 ,3.699 ,3.14 ,4.14 ,3.64 ,3.77 ,3.81 ,1092617 ,0.00%, 1 ,"88,900"," 17,667 ",19.4," 5,612,163 "," 100,048 ",14.8,13.4,2.5,9.0,75.1,"16,133,775",1,0,2,1.64
43150,Chungbuk,제천시,Jecheon-si,Si,1,U-city(기반조성),, -   ,"94,577",0.008%,0.000%,0 ,0 ,3.717 ,3.19 ,4.10 ,3.63 ,3.90 ,3.76 ,693732 ,0.00%, 1 ,"60,946"," 12,733 ",20.4," 2,527,357 "," 64,834 ",27.1,12.0,2.1,5.8,80.2,"5,387,817",2,0,0,0.84
43720,Chungbuk,보은군,Boeun-gun,Gun,3,,, -   ,"58,867",0.000%,0.000%,0 ,0 ,3.705 ,3.10 ,3.85 ,3.71 ,4.03 ,3.85 ,201122 ,0.00%, 1 ,"16,304"," 2,948 ",10.2," 916,525 "," 17,456 ",10.7,16.5,1.8,19.5,62.3,"4,609,097",2,0,0,0.96
43730,Chungbuk,옥천군,Okcheon-gun,Gun,3,,, -   ,"48,162",0.025%,0.000%,0 ,0 ,3.563 ,3.11 ,3.85 ,3.57 ,3.52 ,3.77 ,334571 ,0.00%, 1 ,"23,092"," 4,036 ",18.1," 1,180,733 "," 25,424 ",8.9,7.7,0.8,4.5,87.1,"2,447,015",3,0,0,1.17
43740,Chungbuk,영동군,Yeongdong-gun,Gun,3,,, -   ,"76,946",0.028%,0.000%,0 ,0 ,3.717 ,3.22 ,4.00 ,3.65 ,3.81 ,3.91 ,240166 ,0.00%, -   ,"23,840"," 3,589 ",17.9," 986,141 "," 24,076 ",11.9,12.4,1.2,7.2,79.2,"5,474,349",2,0,0,0.91
43745,Chungbuk,증평군,Jeungpyeong-gun,Gun,3,,, -   ,"11,557",0.035%,0.000%,0 ,0 ,3.795 ,3.16 ,4.29 ,3.74 ,3.92 ,3.87 ,164469 ,0.00%, 1 ,"16,238"," 2,814 ",30.8," 1,058,807 "," 17,838 ",67.7,22.5,2.4,21.8,53.2,"6,168,591",6,0,0,1.13
43750,Chungbuk,진천군,Jincheon-gun,Gun,1,충북혁신(07~15),, -   ,"46,233",0.016%,0.000%,0 ,0 ,3.723 ,3.06 ,4.17 ,3.65 ,3.94 ,3.79 ,521465 ,0.00%, 2 ,"30,746"," 6,301 ",14.1," 4,304,677 "," 38,230 ",17.3,13.2,1.5,14.9,70.4,"4,706,166",0,1,0,1.50
